sample	function	taxon	taxon_abun	taxon_rel_abun	genome_function_count	taxon_function_abun	taxon_rel_function_abun	norm_taxon_function_contrib
Sample231	1CMET2-PWY	ASV15	173.0	24.573863636363637	1.0	173.0	24.573863636363637	0.4154045068341337
Sample231	1CMET2-PWY	ASV18	55.0	7.8125	1.0	55.0	7.8125	0.13206501662356854
Sample231	1CMET2-PWY	ASV27	39.0	5.5397727272727275	1.0769230769230769	42.0	5.965909090909091	0.10084964905799779
Sample231	1CMET2-PWY	ASV38	122.0	17.329545454545457	1.0769230769230769	131.3846153846154	18.662587412587413	0.31547838936091616
Sample231	1CMET2-PWY	ASV8	14.0	1.9886363636363635	1.0769230769230769	15.076923076923077	2.1416083916083912	0.03620243812338382
Sample231	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	ASV8	14.0	1.9886363636363635	1.1666666666666667	16.333333333333336	2.320075757575758	1.0
Sample231	ANAEROFRUCAT-PWY	ASV15	173.0	24.573863636363637	1.0833333333333333	187.41666666666666	26.621685606060606	1.0
Sample231	ANAGLYCOLYSIS-PWY	ASV15	173.0	24.573863636363637	1.125	194.625	27.64559659090909	0.2714194696877881
Sample231	ANAGLYCOLYSIS-PWY	ASV16	91.0	12.926136363636365	1.6265060240963856	148.0120481927711	21.024438663745894	0.20641413810088766
Sample231	ANAGLYCOLYSIS-PWY	ASV24	210.0	29.829545454545453	1.0588235294117647	222.35294117647058	31.58422459893048	0.3100882074637769
Sample231	ANAGLYCOLYSIS-PWY	ASV38	122.0	17.329545454545457	1.125	137.25	19.49573863636364	0.19140563758329562
Sample231	ANAGLYCOLYSIS-PWY	ASV8	14.0	1.9886363636363635	1.0588235294117647	14.823529411764707	2.105614973262032	0.020672547164251796
Sample231	ARGSYN-PWY	ASV15	173.0	24.573863636363637	1.054945054945055	182.5054945054945	25.924075924075925	0.370593385515126
Sample231	ARGSYN-PWY	ASV16	91.0	12.926136363636365	1.2	109.2	15.511363636363637	0.22174016079846517
Sample231	ARGSYN-PWY	ASV18	55.0	7.8125	1.0212765957446808	56.170212765957444	7.978723404255319	0.11405853489750371
Sample231	ARGSYN-PWY	ASV38	122.0	17.329545454545457	1.1851851851851851	144.59259259259258	20.53872053872054	0.2936079187889052
Sample231	ARGSYNBSUB-PWY	ASV15	173.0	24.573863636363637	1.0810810810810811	187.02702702702703	26.56633906633907	0.252532942704882
Sample231	ARGSYNBSUB-PWY	ASV16	91.0	12.926136363636365	1.3333333333333333	121.33333333333333	17.234848484848484	0.16383013835979532
Sample231	ARGSYNBSUB-PWY	ASV18	55.0	7.8125	1.0526315789473684	57.89473684210526	8.223684210526315	0.0781722753885663
Sample231	ARGSYNBSUB-PWY	ASV24	210.0	29.829545454545453	1.0	210.0	29.829545454545453	0.2835521625457996
Sample231	ARGSYNBSUB-PWY	ASV38	122.0	17.329545454545457	1.2121212121212122	147.87878787878788	21.00550964187328	0.19967309570324704
Sample231	ARGSYNBSUB-PWY	ASV8	14.0	1.9886363636363635	1.1764705882352942	16.47058823529412	2.339572192513369	0.022239385297709774
Sample231	ARO-PWY	ASV15	173.0	24.573863636363637	1.5555555555555556	269.11111111111114	38.226010101010104	0.3151146520281703
Sample231	ARO-PWY	ASV16	91.0	12.926136363636365	1.3125	119.4375	16.96555397727273	0.13985489523721356
Sample231	ARO-PWY	ASV18	55.0	7.8125	1.2727272727272727	70.0	9.943181818181818	0.08196623896686508
Sample231	ARO-PWY	ASV24	210.0	29.829545454545453	1.0	210.0	29.829545454545453	0.24589871690059528
Sample231	ARO-PWY	ASV27	39.0	5.5397727272727275	1.0	39.0	5.5397727272727275	0.045666904567253405
Sample231	ARO-PWY	ASV38	122.0	17.329545454545457	1.0769230769230769	131.3846153846154	18.662587412587413	0.15384432544550064
Sample231	ARO-PWY	ASV8	14.0	1.9886363636363635	1.0769230769230769	15.076923076923077	2.1416083916083912	0.01765426685440171
Sample231	ASPASN-PWY	ASV15	173.0	24.573863636363637	1.4117647058823528	244.23529411764704	34.69251336898395	1.0
Sample231	BIOTIN-BIOSYNTHESIS-PWY	ASV27	39.0	5.5397727272727275	1.3125	51.1875	7.270951704545455	1.0
Sample231	BRANCHED-CHAIN-AA-SYN-PWY	ASV15	173.0	24.573863636363637	1.1904761904761905	205.95238095238096	29.254599567099568	0.21894198064160564
Sample231	BRANCHED-CHAIN-AA-SYN-PWY	ASV16	91.0	12.926136363636365	1.5000000000000002	136.50000000000003	19.38920454545455	0.14510917630269657
Sample231	BRANCHED-CHAIN-AA-SYN-PWY	ASV18	55.0	7.8125	1.3953488372093024	76.74418604651163	10.901162790697676	0.0815845100602945
Sample231	BRANCHED-CHAIN-AA-SYN-PWY	ASV24	210.0	29.829545454545453	1.5000000000000002	315.00000000000006	44.74431818181819	0.33486732992929974
Sample231	BRANCHED-CHAIN-AA-SYN-PWY	ASV27	39.0	5.5397727272727275	1.3333333333333333	52.0	7.386363636363637	0.055279686210551064
Sample231	BRANCHED-CHAIN-AA-SYN-PWY	ASV38	122.0	17.329545454545457	1.1111111111111112	135.55555555555557	19.25505050505051	0.1441051649078468
Sample231	BRANCHED-CHAIN-AA-SYN-PWY	ASV8	14.0	1.9886363636363635	1.3513513513513513	18.91891891891892	2.687346437346437	0.020112151947705686
Sample231	CALVIN-PWY	ASV15	173.0	24.573863636363637	1.0909090909090908	188.72727272727272	26.80785123966942	0.24381492355978535
Sample231	CALVIN-PWY	ASV16	91.0	12.926136363636365	1.2413793103448276	112.96551724137932	16.046238244514107	0.14593905031892276
Sample231	CALVIN-PWY	ASV18	55.0	7.8125	1.2413793103448276	68.27586206896552	9.698275862068966	0.08820492052242584
Sample231	CALVIN-PWY	ASV24	210.0	29.829545454545453	1.0909090909090908	229.09090909090907	32.54132231404958	0.2959603118355776
Sample231	CALVIN-PWY	ASV27	39.0	5.5397727272727275	1.0	39.0	5.5397727272727275	0.05038371975296142
Sample231	CALVIN-PWY	ASV38	122.0	17.329545454545457	1.0	122.0	17.329545454545457	0.15761061050926395
Sample231	CALVIN-PWY	ASV8	14.0	1.9886363636363635	1.0	14.0	1.9886363636363635	0.018086463501063077
Sample231	COA-PWY	ASV15	173.0	24.573863636363637	1.0	173.0	24.573863636363637	0.24573863636363635
Sample231	COA-PWY	ASV16	91.0	12.926136363636365	1.0	91.0	12.926136363636365	0.12926136363636365
Sample231	COA-PWY	ASV18	55.0	7.8125	1.0	55.0	7.8125	0.078125
Sample231	COA-PWY	ASV24	210.0	29.829545454545453	1.0	210.0	29.829545454545453	0.29829545454545453
Sample231	COA-PWY	ASV27	39.0	5.5397727272727275	1.0	39.0	5.5397727272727275	0.05539772727272727
Sample231	COA-PWY	ASV38	122.0	17.329545454545457	1.0	122.0	17.329545454545457	0.17329545454545456
Sample231	COA-PWY	ASV8	14.0	1.9886363636363635	1.0	14.0	1.9886363636363635	0.019886363636363636
Sample231	COBALSYN-PWY	ASV15	173.0	24.573863636363637	1.0285714285714285	177.94285714285712	25.275974025974023	0.3848453249913104
Sample231	COBALSYN-PWY	ASV16	91.0	12.926136363636365	1.1249999999999998	102.37499999999999	14.541903409090908	0.22141119221411193
Sample231	COBALSYN-PWY	ASV18	55.0	7.8125	1.0285714285714285	56.57142857142857	8.035714285714285	0.12234966979492529
Sample231	COBALSYN-PWY	ASV38	122.0	17.329545454545457	1.0285714285714285	125.48571428571427	17.824675324675326	0.27139381299965243
Sample231	COLANSYN-PWY	ASV16	91.0	12.926136363636365	1.3186813186813187	120.0	17.045454545454547	1.0
Sample231	COMPLETE-ARO-PWY	ASV15	173.0	24.573863636363637	1.6551724137931036	286.3448275862069	40.67398119122257	0.3147155245621769
Sample231	COMPLETE-ARO-PWY	ASV16	91.0	12.926136363636365	1.3714285714285714	124.8	17.72727272727273	0.13716503209241696
Sample231	COMPLETE-ARO-PWY	ASV18	55.0	7.8125	1.3333333333333333	73.33333333333333	10.416666666666666	0.08059911073806553
Sample231	COMPLETE-ARO-PWY	ASV24	210.0	29.829545454545453	1.0666666666666667	224.0	31.818181818181817	0.2461936473453638
Sample231	COMPLETE-ARO-PWY	ASV27	39.0	5.5397727272727275	1.090909090909091	42.545454545454554	6.043388429752067	0.04676080639514216
Sample231	COMPLETE-ARO-PWY	ASV38	122.0	17.329545454545457	1.1707317073170733	142.82926829268294	20.28824833702883	0.15698061834216578
Sample231	COMPLETE-ARO-PWY	ASV8	14.0	1.9886363636363635	1.1428571428571428	16.0	2.2727272727272725	0.01758526052466884
Sample231	DAPLYSINESYN-PWY	ASV16	91.0	12.926136363636365	1.4516129032258065	132.09677419354838	18.763746334310852	0.528747115843055
Sample231	DAPLYSINESYN-PWY	ASV18	55.0	7.8125	1.105263157894737	60.789473684210535	8.634868421052632	0.2433235715283155
Sample231	DAPLYSINESYN-PWY	ASV27	39.0	5.5397727272727275	1.08	42.120000000000005	5.982954545454546	0.16859479465167126
Sample231	DAPLYSINESYN-PWY	ASV8	14.0	1.9886363636363635	1.0588235294117647	14.823529411764707	2.105614973262032	0.05933451797695821
Sample231	DENITRIFICATION-PWY	ASV8	14.0	1.9886363636363635	1.411764705882353	19.764705882352942	2.807486631016043	1.0
Sample231	DENOVOPURINE2-PWY	ASV8	14.0	1.9886363636363635	1.1219512195121952	15.707317073170733	2.2311529933481156	1.0
Sample231	DTDPRHAMSYN-PWY	ASV16	91.0	12.926136363636365	1.2000000000000002	109.20000000000002	15.51136363636364	0.2556179775280899
Sample231	DTDPRHAMSYN-PWY	ASV18	55.0	7.8125	1.0	55.0	7.8125	0.1287453183520599
Sample231	DTDPRHAMSYN-PWY	ASV24	210.0	29.829545454545453	1.0	210.0	29.829545454545453	0.4915730337078651
Sample231	DTDPRHAMSYN-PWY	ASV27	39.0	5.5397727272727275	1.0	39.0	5.5397727272727275	0.09129213483146066
Sample231	DTDPRHAMSYN-PWY	ASV8	14.0	1.9886363636363635	1.0	14.0	1.9886363636363635	0.03277153558052434
Sample231	FAO-PWY	ASV15	173.0	24.573863636363637	1.1428571428571428	197.7142857142857	28.084415584415584	0.4037339556592765
Sample231	FAO-PWY	ASV18	55.0	7.8125	1.0909090909090908	59.99999999999999	8.522727272727272	0.12252042007001165
Sample231	FAO-PWY	ASV27	39.0	5.5397727272727275	1.3333333333333333	52.0	7.386363636363637	0.10618436406067677
Sample231	FAO-PWY	ASV38	122.0	17.329545454545457	1.2	146.4	20.795454545454547	0.2989498249708285
Sample231	FAO-PWY	ASV8	14.0	1.9886363636363635	2.4	33.6	4.7727272727272725	0.06861143523920654
Sample231	FASYN-ELONG-PWY	ASV15	173.0	24.573863636363637	1.9047619047619047	329.5238095238095	46.807359307359306	0.48189142950709835
Sample231	FASYN-ELONG-PWY	ASV18	55.0	7.8125	1.5135135135135136	83.24324324324324	11.824324324324325	0.12173386057068863
Sample231	FASYN-ELONG-PWY	ASV27	39.0	5.5397727272727275	1.7142857142857144	66.85714285714286	9.496753246753247	0.09777103569768296
Sample231	FASYN-ELONG-PWY	ASV38	122.0	17.329545454545457	1.4999999999999998	182.99999999999997	25.99431818181818	0.26761687335199114
Sample231	FASYN-ELONG-PWY	ASV8	14.0	1.9886363636363635	1.5135135135135136	21.18918918918919	3.0098280098280097	0.03098680087253893
Sample231	FASYN-INITIAL-PWY	ASV18	55.0	7.8125	1.153846153846154	63.46153846153847	9.014423076923078	0.4863514033064206
Sample231	FASYN-INITIAL-PWY	ASV27	39.0	5.5397727272727275	1.3043478260869565	50.869565217391305	7.225790513833992	0.38985005767012687
Sample231	FASYN-INITIAL-PWY	ASV8	14.0	1.9886363636363635	1.153846153846154	16.153846153846157	2.2945804195804196	0.12379853902345253
Sample231	FERMENTATION-PWY	ASV16	91.0	12.926136363636365	1.309090909090909	119.12727272727273	16.92148760330579	0.7368421052631579
Sample231	FERMENTATION-PWY	ASV27	39.0	5.5397727272727275	1.090909090909091	42.545454545454554	6.043388429752067	0.26315789473684215
Sample231	FOLSYN-PWY	ASV15	173.0	24.573863636363637	1.0285714285714285	177.94285714285712	25.275974025974023	0.56336283997615
Sample231	FOLSYN-PWY	ASV38	122.0	17.329545454545457	1.0140845070422535	123.71830985915493	17.573623559539055	0.3916892170802183
Sample231	FOLSYN-PWY	ASV8	14.0	1.9886363636363635	1.0140845070422535	14.197183098591548	2.0166453265044813	0.04494794294363161
Sample231	GALACTUROCAT-PWY	ASV18	55.0	7.8125	1.0	55.0	7.8125	1.0
Sample231	GLUCONEO-PWY	ASV15	173.0	24.573863636363637	1.2	207.6	29.488636363636363	0.44968980507622736
Sample231	GLUCONEO-PWY	ASV18	55.0	7.8125	1.103448275862069	60.689655172413794	8.620689655172413	0.13146203855792973
Sample231	GLUCONEO-PWY	ASV27	39.0	5.5397727272727275	1.0	39.0	5.5397727272727275	0.0844792986414878
